DisNo.,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damage ('000 US$)
2013-0510-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,Austin district (Texas province),Torrentiak rain,,,38936,Km2,30.66,-96.01,2013,10,31,2013,11,10,4,,4800,,4800,
2013-0515-IND,Meteorological,Storm,Tropical cyclone,Helen,IND,India,Southern Asia,Asia,"Krishna, Guntur, East Godavari, West Godavari, Vishakhapatnam districts (Andhra Pradesh province)",,Flood,,65,Kph,,,2013,11,22,2013,11,22,10,,,,,262000
2013-0528-CAN,Meteorological,Extreme temperature,Severe winter conditions,,CAN,Canada,Northern America,Americas,"Ontario, Quebec provinces",,,,,°C,,,2013,12,21,2013,12,22,10,,,,,200000
2013-0528-USA,Meteorological,Extreme temperature,Severe winter conditions,,USA,United States of America,Northern America,Americas,"Michigan, Ohio, New York, Vermont, Maine, Kansas, Iowa, Texas, Wisconsin, Illinois, Minnesota, Arkansas, Louisiana, Mississippi, Kentucky provinces",,,,,°C,,,2013,12,19,2013,12,22,19,,,,,200000
2013-0548-USA,Meteorological,Storm,Severe weather,,USA,United States of America,Northern America,Americas,"Louisiana, South Carolina, Mississippi provinces",,,,,Kph,,,2013,3,18,2013,3,19,2,,,,,2200000
2013-0550-USA,Meteorological,Storm,Blizzard/Winter storm,Cleon and Dion,USA,United States of America,Northern America,Americas,"Alabama, Arkansas, Connecticut, Delaware, Florida, Georgia, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Vermont, Virginia, West Virginia provinces",,,,,Kph,,,2013,12,1,2013,12,9,20,,,,,100000
2013-0558-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Nelson, Carroll districts (Kentucky province)",Heavy rains,,,16069.91,Km2,37.5597,-86.79,2013,12,22,2013,12,31,5,,,,,
2013-0579-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, Louisiana provinces",,Hail,,,Kph,,,2013,2,24,2013,2,25,1,,,,,1100000
2013-0580-CAN,Meteorological,Storm,Lightning/Thunderstorms,,CAN,Canada,Northern America,Americas,Toronto district (Ontario province),,Flood,,,Kph,,,2013,7,8,2013,7,9,,,,,,1410000
2014-0009-CAN,Meteorological,Extreme temperature,Cold wave,,CAN,Canada,Northern America,Americas,"Ontario, Manitoba, Saskatchewan provinces",,,,-48,°C,,,2014,1,1,2014,1,9,,,,,,
2014-0009-USA,Meteorological,Extreme temperature,Cold wave,,USA,United States of America,Northern America,Americas,"New York, Minnesota, Georgia, Maryland, Alaska, Alabama, Mississippi, Louisiana, North Carolina, South Carolina, Ohio, Indiana, Illinois, Pennsylvania, Michigan, New Jersey, Virginia, Kentucky, Missouri provinces",,,,-37,°C,,,2014,1,5,2014,1,8,21,,,,,2500000
2014-0047-IND,Meteorological,Extreme temperature,Cold wave,,IND,India,Southern Asia,Asia,"Uttar Pradesh, Jammu and Kashmir, Uttarakhand, Delhi provinces",,Fog,,-9,°C,,,2014,1,20,2014,1,24,24,,,,,
2014-0048-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania provinces",,Cold wave,,,Kph,,,2014,2,2,2014,2,6,9,,,,,250000
2014-0052-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Maine, Massachusetts, New Hampshire, Vermont, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Maryland provinces",,,,,Kph,,,2014,1,1,2014,1,5,16,,,,,210000
2014-0053-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Georgia, Alabama, Mississippi, Louisiana, North Carolina, South Carolina provinces",,,,,Kph,,,2014,1,26,2014,1,29,13,,,,,250000
2014-0072-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"District of Columbia, New York, Georgia, South Carolina, North Carolina, Pennsylvania provinces",,Cold wave,,,Kph,,,2014,2,11,2014,2,14,25,,,,,750000
2014-0095-USA,Hydrological,Mass movement (wet),Landslide (wet),,USA,United States of America,Northern America,Americas,"Oso village (Snohomish district, Washington province)",Heavy rains and small earthquake,,,,,,,2014,3,22,2014,3,22,43,,,150,150,20000
2014-0100-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"California, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Tennessee, New York, New Jersey, Pennsylvania provinces",,,,,Kph,,,2014,2,28,2014,3,4,12,,,,,2000
2014-0106-IND,Meteorological,Storm,Blizzard/Winter storm,,IND,India,Southern Asia,Asia,"Doda, Bhaderwah, Thathri, Gandoh, Bhallessa villages (Kishtwar (72809) district, Jammu and Kashmir (40427) province), Kora Pani, Tangdhar villages (Kupwara (72786) district, Jumma and Kashmir (40431) province)",,"Rain|Slide (land, mud, snow, rock)",,,Kph,,,2014,3,10,2014,3,12,17,,9610,,9610,
2014-0126-USA,Meteorological,Storm,Severe weather,,USA,United States of America,Northern America,Americas,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Mississippi, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Florida, Alabama, New York, New Jersey, Pennsylvania provinces",,Flood|Hail,,,Kph,,,2014,4,27,2014,5,1,40,15,,,15,2000000
2014-0165-USA,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Hutchinson district (Texas province), San Diego district (California province)","Excessive heat, drougth and winds",,,,Km2,,,2014,5,11,2014,5,20,2,,429,,429,100000
2014-0182-IND,Meteorological,Storm,Lightning/Thunderstorms,,IND,India,Southern Asia,Asia,"Ghaziabad district (Utar Pradesh province), Delhi, West Bengal provinces",,,,,Kph,,,2014,5,30,2014,5,31,15,26,,,26,
2014-0192-USA,Meteorological,Storm,Lightning/Thunderstorms,,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, North Dakota, Ohio, South Dakota, Wisconsin, Kansas, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Arizona, Idaho, Montana, Nevada, New Mexico, Utah, Wyoming, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut provinces",,Hail,,110,Kph,,,2014,5,18,2014,5,23,,,,,,3900000
2014-0218-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,Assam province,Heavy monsoonal rain,"Slide (land, mud, snow, rock)",,49220,Km2,,,2014,6,26,2014,6,28,27,,18500,,18500,2000
2014-0263-USA,Meteorological,Storm,Lightning/Thunderstorms,,USA,United States of America,Northern America,Americas,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, Texas, Wyoming, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, Tennessee provinces",,Flood|Hail,,60,Kph,,,2014,7,26,2014,7,27,,,300,,300,270000
2014-0268-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Uttarakhand, Himachal Pradesh provinces",Excessive rainfall,,,,Km2,,,2014,7,16,2014,7,22,26,,,,,
2014-0270-IND,Hydrological,Mass movement (wet),Landslide (wet),,IND,India,Southern Asia,Asia,"Malin village (Pune district, Maharashtra province)",Monsoonal rains,,,,,,,2014,7,30,2014,7,30,151,,,200,200,
2014-0310-USA,Meteorological,Storm,Tropical cyclone,Hurricane Iselle,USA,United States of America,Northern America,Americas,Hawaii province,,,,95,Kph,,,2014,8,8,2014,8,10,1,,834,,834,66000
2014-0313-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,Orissa province,Torrential monsoonal rain,,,,Km2,,,2014,8,3,2014,8,4,35,,179000,,179000,200000
2014-0317-USA,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvanie, Maryland provinces",Excessive rainfall,,,,Km2,,,2014,8,11,2014,8,13,2,,102000,,102000,1600000
2014-0318-USA,Geophysical,Earthquake,Ground movement,,USA,United States of America,Northern America,Americas,"San Francisco Bay (San Francisco district) , Napa Valley (Napa district) ; Sonoma, Solano district (California province) ; Vallejo, Mare Island cities (Solano district, California province)",,Fire,,6.02,Moment Magnitude,38.2151667,-122.3123333,2014,8,24,2014,8,24,1,250,3000,,3250,700000
2014-0319-CAN,Hydrological,Flood,Flash flood,,CAN,Canada,Northern America,Americas,"Burlington city (Halton district, Ontario province)",,Lightening,,,Km2,,,2014,8,4,2014,8,4,,4,6900,,6904,129000
2014-0343-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,Jammu and Kashmir provinces,Monsoonal rain,"Slide (land, mud, snow, rock)",,,Km2,,,2014,9,,2014,9,,298,,275000,,275000,16000000
2014-0391-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Tura village (West Garo Hills district, Meghalaya province), Goalpara, Kamrup districts (Assam province)",Torrential monsoonal rains; Typhoon Kalmaegi,"Slide (land, mud, snow, rock)",,61894.97,Km2,,,2014,9,24,2014,10,11,95,,,650000,650000,163000
2014-0392-IND,Meteorological,Storm,Tropical cyclone,Cyclone Hudhud,IND,India,Southern Asia,Asia,"Vishakhapatnam, Gangavaram towns (Vishakhapatnam district, Andhra Pradesh province), Baragarh, Bolangir, Boudh, Gajapati, Ganjam, Kalahandi, Kandhamal, Khordha, Koraput, Malkangiri, Nabarangpur, Nayagarh, Nuapada, Puri, Rayagada, Sonepur districts (Orissa province), Chhattisgarh province",,Surge,,215,Kph,,,2014,10,12,2014,10,12,53,,920000,,920000,7000000
2014-0408-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Shravasti, Balrampur, Sitapur, Lakhimpur Kheri, Gonda, Bara Banki, Faizabad, Azamgarh districts (Uttar Pradesh province), Uttarakhand, Bihar, Assam provinces","Heavy rains, overflowing rivers after dam opening in Nepal","Slide (land, mud, snow, rock)|Transport accident",,,Km2,,,2014,8,16,2014,9,1,94,,500000,,500000,
2014-0409-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,Odisha province,,,,,Km2,,,2014,8,9,2014,8,16,47,,3600000,,3600000,100000
2014-0444-USA,Meteorological,Storm,Lightning/Thunderstorms,,USA,United States of America,Northern America,Americas,"Arkansas, Louisiana, Alabama, Mississippi, Kentucky, Illinois, Texas provinces",,Hail|Lightening,,160,Kph,,,2014,10,12,2014,10,14,2,,,,,170000
2014-0459-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"New York, New Hampshire, Michigan provinces",,,,,Kph,,,2014,11,15,2014,11,19,13,,,,,100000
2014-0482-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Los Angeles, San Diego districts (California province), Oregon province",,"Flood|Slide (land, mud, snow, rock)",,230,Kph,,,2014,12,10,2014,12,17,3,,,30,30,
2014-0491-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,"Orange, Mariposa, Tuolumne, Los Angeles, San Francisco, Sacaramento districts (California province)","Heavy rains, strong storm system","Slide (land, mud, snow, rock)",,,Km2,,,2014,12,2,2014,12,5,,,40,,40,90000
2014-0520-IND,Meteorological,Extreme temperature,Cold wave,,IND,India,Southern Asia,Asia,Muzaffarnagar district (Uttar Pradesh province),,,,3.1,°C,,,2014,12,7,2014,12,9,16,,,,,
2014-0523-IND,Meteorological,Extreme temperature,Severe winter conditions,,IND,India,Southern Asia,Asia,"Himachal Pradesh, Uttarakhand, Uttar Pradesh provinces",,Fog|Snow/ice,,,°C,,,2014,12,17,2014,12,18,140,,,,,
2014-0538-IND,Meteorological,Storm,Storm (General),,IND,India,Southern Asia,Asia,Uttar Pradesh province,,,,,Kph,,,2014,4,17,2014,4,20,27,,,,,
2014-0540-USA,Meteorological,Storm,Lightning/Thunderstorms,,USA,United States of America,Northern America,Americas,"Blair area (Washington district, Nebraska province), Iowa, Kansas, Arkansas, Wyoming provinces",,Hail,,128,Kph,,,2014,6,3,2014,6,6,2,36,,,36,1600000
2014-0551-IND,Meteorological,Storm,Lightning/Thunderstorms,,IND,India,Southern Asia,Asia,Hyderabad district (Andhra Pradesh province),,Flood|Hail,,,Kph,,,2014,3,6,2014,3,7,7,58,1870,,1928,
2015-0025-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Illinois, Wisconsin, Pennsylvania provinces",,,,,Kph,,,2015,1,6,2015,1,11,15,,,,,100000
2015-0026-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Rhode Island",,Snow/ice,,104,Kph,,,2015,1,26,2015,1,28,2,,,,,80000
2015-0046-USA,Meteorological,Storm,Blizzard/Winter storm,Storm Octavia,USA,United States of America,Northern America,Americas,"Tennessee, Kansas, District of Columbia, Boston, Ohio, Virginia, Georgia, North Carolina, South Carolina provinces",,Cold wave,,,Kph,,,2015,2,16,2015,2,22,10,,,,,100000
2015-0072-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Illinois, Michigan, Massachusetts, New York, Connecticut, Indiana provinces",,Cold wave,,,Kph,,,2015,1,31,2015,2,4,22,,,,,150000
2015-0073-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Massachusetts, New York, Tennessee, Maryland, Virginia, Pennsylvania, Kentucky, North Carolina, Michigan, Rhode Island, New Hampshire, Ohio, South Carolina, Illinois, District of Columbia, Maine, Vermont provinces",,,,,Kph,,,2015,2,16,2015,2,22,30,,,,,3000000
2015-0107-IND,Hydrological,Flood,Flash flood,,IND,India,Southern Asia,Asia,"Chadoora village (72811 district, Jammu and Kashmir province)",Heavy rains,"Slide (land, mud, snow, rock)",,70287.98,Km2,33.1767,76.41,2015,3,20,2015,3,31,44,25,,2097,2122,76000
2015-0118-IND,Meteorological,Storm,Lightning/Thunderstorms,,IND,India,Southern Asia,Asia,Tripura province,,,,,Kph,,,2015,4,4,2015,4,5,1,,10000,,10000,3000
2015-0122-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"New York, Pennsylvania, Kentucky, West Virginia, Arkansas provinces",,,,,Kph,,,2015,3,3,2015,3,5,13,,,,,170000
2015-0123-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Moore area (Cleveland district, Oklahoma province), Osage, Tulsa districts (Oklahoma province), Kansas, Missouri, Arkansas provinces",,Hail,,110,Kph,,,2015,3,25,2015,3,26,1,12,3300,,3312,500000
2015-0126-IND,Meteorological,Storm,Lightning/Thunderstorms,,IND,India,Southern Asia,Asia,"Gujarat, Punjab, Himachal Pradresh, Haryana, Maharashtra, Bihar, Uttar Pradesh, Madhya Pradesh, Rajasthan, Jammu and Kashmir, Uttarakhand, West Bengal provinces",,"Flood|Slide (land, mud, snow, rock)",,,Kph,,,2015,3,6,2015,3,18,27,,,,,906000
2015-0138-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Fairdale area (DeKalb district, Illinois province), Rochelle town (Ogle district, Illinois province), Missouri, North Carolina, Indiana, Ohio, Kentucky, Texas, Iowa, Arkansas, Michigan, West Virginia, Wisconsin, Pennsylvania, Oklahoma, Kansas, Tennessee provinces",,Flood|Hail,,,Kph,,,2015,4,7,2015,4,10,3,12,,,12,1400000
2015-0144-IND,Geophysical,Earthquake,Ground movement,,IND,India,Southern Asia,Asia,"Bihar, Uttar Pradesh, West Bengal, Sikkim provinces",,,,7.8,Moment Magnitude,28.2305,84.7314,2015,4,25,2015,4,25,78,560,,,560,
2015-0155-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Texas, Louisiana, Alabama, Mississippi, Kentucky, Georgia, Florida provinces",,Flood|Hail,,,Kph,,,2015,4,24,2015,4,28,4,12,,,12,950000
2015-0164-IND,Meteorological,Storm,Severe weather,,IND,India,Southern Asia,Asia,"Purnia, Madhepura, Madhubani, Supaul, Sitamarhi districts (Bihar province)",,Hail,,150,Kph,,,2015,4,21,2015,4,21,100,100,125000,,125100,160000
2015-0175-IND,Geophysical,Earthquake,Ground movement,,IND,India,Southern Asia,Asia,Bihar province,,,,7.3,Moment Magnitude,27.8087,86.0655,2015,5,12,2015,5,12,20,,,,,
2015-0177-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Nashville town (Howard district, Arkansas province); Van town (Van Zandt district, Texas province), Delmond town (Douglas district, South Dakota province), Colorado, Oklahoma, Kansas, Iowa provinces",,,,,Kph,,,2015,5,6,2015,5,13,6,,,,,1000000
2015-0180-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Kansas, Nebraska, Texas, Oklahoma, Minnesota, Iowa, Wisconsin provinces",,Flood|Hail,,,Kph,,,2015,5,3,2015,5,5,1,40,,,40,160000
2015-0186-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,"San Marcos area (Hays district, Texas province), Claremore area (Hays district, Oklahoma province)",Torrential rains,,,,Km2,,,2015,5,24,2015,5,24,16,,12000,,12000,
2015-0189-IND,Meteorological,Extreme temperature,Heat wave,,IND,India,Southern Asia,Asia,"Delhi, Andhra Pradesh, Orissa provinces",,,,48,°C,,,2015,5,20,2015,5,31,2248,,,,,
2015-0207-IND,Hydrological,Flood,Flash flood,,IND,India,Southern Asia,Asia,"Bhadrairuppu village (Virudhunagar district, Tamil Nadu province)",Torrential rain,,,14179,Km2,10.7121,79.18,2015,5,17,2015,5,21,8,,200,,200,
2015-0211-USA,Meteorological,Storm,Lightning/Thunderstorms,,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, Kansas, Nebraska, Missouri, Colorado, Minnesota, South Dakota provinces",,Flood|Hail,,130,Kph,,,2015,5,6,2015,5,13,4,,,,,1400000
2015-0212-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, Colorado, Arkansas, Kansas, Louisiana, Georgia, Ohio, South Carolina",Heavy rain,Lightening,,849464.6,Km2,34.1936,-97.99,2015,5,23,2015,5,30,32,,12000,,12000,2700000
2015-0226-IND,Hydrological,Mass movement (wet),Landslide (wet),,IND,India,Southern Asia,Asia,"Barpeta, Sonitpur, Goalpara, Dhemaji, Lakhimpur, Tinsukia, Darrang, Nalbari, Jorhat, Kamrup, Dibrugarh, Nagaon, Bongaigaon districts (Assam province)",Seosnal monsoon,,,,,26.9195,93.87,2015,6,2,2015,6,29,3,,9000,,9000,
2015-0245-USA,Meteorological,Storm,Lightning/Thunderstorms,,USA,United States of America,Northern America,Americas,"Colorado, Illinois provinces",,Flood|Hail,,,Kph,,,2015,6,3,2015,6,8,,,,,,650000
2015-0249-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Amreli, Rajkot, Surat districts (Gujarat province), Maharashtra province",Monsoon rains,,,43781.56,Km2,21.8734,70.76,2015,6,19,2015,6,20,81,,9000,,9000,604000
2015-0253-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Mirik, Kalimpong, Darjeeling villages (Darjiling district, West Bengal province),",,"Slide (land, mud, snow, rock)",,,Km2,,,2015,6,23,2015,6,30,40,,,1000,1000,
2015-0275-CAN,Climatological,Wildfire,Forest fire,,CAN,Canada,Northern America,Americas,"Saskatchewan, Alberta, British Columbia provinces","Hot, dry and windy conditions",,,,Km2,,,2015,7,1,2015,7,10,,,13000,36,13036,
2015-0312-USA,Climatological,Wildfire,Wildfire (General),,USA,United States of America,Northern America,Americas,"Lake, Napa, Solano, Yolo, Modoc, Colusa districts (California province)","Drought conditions, gusty winds, warm temperatures, lightening",,,,Km2,,,2015,7,22,2015,8,13,1,,,129,129,2000
2015-0317-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Kachchh, Patan, Banas Kantha districts (Gujarat province), Malda, Jalpaiguri districts (West Bengal province), Jorhat, Dhemaji, Lakhimpur, Dhuburi, Darrang, Goalpara, Karbi Anglong, Marigaon districts (Assam province), Manipur, Orissa, Rajasthan, Madhya Pradesh provinces","Monsoon rains, exacerbated by tail end of Cyclone Komen","Slide (land, mud, snow, rock)",,629961.6,Km2,26.2074,82.62,2015,7,15,2015,8,19,293,,13709887,,13709887,
2015-0326-USA,Meteorological,Storm,Severe weather,,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Wisconsin, Minnesota, Ohio, Iowa, Kentucky, Tennessee, Missouri, South Carolina, North Carolina",,Flood|Lightening,,,Kph,,,2015,7,12,2015,7,14,4,,,,,700000
2015-0333-IND,Hydrological,Flood,Riverine flood,,IND,India,Southern Asia,Asia,"Rajasthan, Uttar Pradesh, Jammu and Kashmir, Arunachal Pradesh, Uttarakhand, Punjab, Haryana, Himachal Pradesh provinces",Torrential monsoonal rains,"Slide (land, mud, snow, rock)",,,Km2,,,2015,7,7,2015,7,13,25,,,,,
2015-0374-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,Assam province,Monsoonal rain,,,69190.14,Km2,26.8946,93.75,2015,8,13,2015,8,19,5,,18000,,18000,
2015-0399-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,"Hillsborough, Pasco, Pinellas, Dixie, Taylor districts (Florida province)",,,,,Km2,,,2015,7,24,2015,8,5,,,600,,600,100000
2015-0400-USA,Meteorological,Storm,Severe weather,,USA,United States of America,Northern America,Americas,"Chicago, Lincolnwood towns (Cook district, Illinois province), Wood Dale town (DuPage district, Illinois province), Lancaster town (Coos district, New Hampshire province), Indiana, Ohio, Connecticut, Michigan, Massachusetts, Wisconsin, Rhode Island, Maine, New York provinces",,Hail,,95,Kph,,,2015,8,2,2015,8,4,4,40,,,40,950000
2015-0401-USA,Climatological,Wildfire,Wildfire (General),Valley Fire,USA,United States of America,Northern America,Americas,"California, Idaho, Montana, Oregon, Washington provinces","High temperature, Ligthning",Pollution,,,Km2,,,2015,8,13,2015,8,31,4,8,600,3900,4508,150000
2015-0406-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Dhemaji, Kokrajhar, Bongaigaon, Sonitpur, Barpeta, Goalpara, Marigaon, Cachar, Lakhimpur, Jorhat, Tinsukia, Darrang, Nalbari, Kamrup, Dibrugarh, Sibsagar districts (Assam province)",Hearvy rain,,,,Km2,,,2015,8,28,2015,8,30,18,,736000,51000,787000,
2015-0413-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Sonitpur, Lakhimpur, Kokrajhar, Dhemaji districts (Assam province), Arunachal Pradesh province",,"Slide (land, mud, snow, rock)",,,Km2,,,2015,7,14,2015,7,16,,,85250,,85250,
2015-0421-USA,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,USA,United States of America,Northern America,Americas,"Lake, Napa, Sonoma, Butte districts (California province)","High tempertaures, gusty winds, dry soil, vast swathes of dried vegetation and brush",,,,Km2,,,2015,9,13,2015,9,20,4,,,7302,7302,1400000
2015-0431-USA,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,"Hildale town (Washington district, Utah province), Las Vegas town (Clark district, Nevada province)",Torrentila rains,,,,Km2,,,2015,9,14,2015,9,14,19,,,,,2000
2015-0450-IND,Meteorological,Storm,Lightning/Thunderstorms,,IND,India,Southern Asia,Asia,"Deogarh, Nabarangpur, Malkangiri districts (Orissa province), Andhra Pradesh province",,,,,Kph,,,2015,9,6,2015,9,6,32,,,,,
2015-0459-USA,Meteorological,Storm,Tropical cyclone,Joaquin,USA,United States of America,Northern America,Americas,"South Carolina, North Carolina",,Flood,,,Kph,33.503,-80.493,2015,10,1,2015,10,13,25,,800,,800,2000000
2015-0476-IND,Geophysical,Earthquake,Ground movement,,IND,India,Southern Asia,Asia,"Administrative unit not available districts (Jammu and Kashmir province), Delhi, Punjab provinces",,,,7.5,Moment Magnitude,36.5244,70.3676,2015,10,26,2015,10,26,,10,,,10,
2015-0488-USA,Meteorological,Storm,Lightning/Thunderstorms,,USA,United States of America,Northern America,Americas,"Austin, Houston districts (Texas province), Lousiana province",,Flood|Hail,,,Kph,,,2015,10,29,2015,11,3,6,,,,,270000
2015-0504-IND,Hydrological,Flood,Flood (General),,IND,India,Southern Asia,Asia,"Chittoor, Cuddapah, Prakasam, Nellore districts (Andhra Pradesh province), Chennai, Cuddalore, Nagapattinam, Kancheepuram, Thiruvallur, Villupuram districts (Tamil Nadu province), Puducherry province",Tropical depression 'Rovan',,,93202.05,Km2,11.828,78.855,2015,11,8,2015,12,4,325,1000,1800000,,1801000,2200000
2015-0531-USA,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Texas, Kansas, Oklahoma provinces",Heavy rain,Flood,,,Kph,,,2015,11,25,2015,12,4,18,,300,,300,140000
2015-0558-USA,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Dallas, Ellis, Collin districts (Texas province), Mississippi, Tennessee, Arkansas, Alabama, Georgia, New Mexico, Missouri, Kentucky, Indiana, Oklahoma, Illinois provinces",,Flood,,,Kph,,,2015,12,26,2015,12,30,50,60,,,60,2000000
2015-0565-USA,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,"Mississippi, Missouri, Kentucky, Tennessee, Arkansas, Alabama, Illinois, Indiana, Louisiana provinces",Heavy rains,Storm,,,Km2,35.666,-91.083,2015,12,15,2016,1,6,31,50,4000,,4050,600000
2015-0600-IND,Meteorological,Storm,Lightning/Thunderstorms,,IND,India,Southern Asia,Asia,Andhra Pradesh province,,,,,Kph,,,2015,5,19,2015,5,19,23,,,,,
2015-0604-IND,Meteorological,Storm,Lightning/Thunderstorms,,IND,India,Southern Asia,Asia,Maharashtra province,,,,,Kph,,,2015,10,3,2015,10,4,29,,,,,
2015-0613-USA,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",Butte fire,USA,United States of America,Northern America,Americas,"Amador, Calaveras (California)",,,,,Km2,,,2015,9,9,2015,9,14,3,,,1425,1425,400000
